Index;Name;Author;User Rating;Reviews;Price;Year;Genre 1;Genre 2;Genre 3;Number
48;Catching Fire (The Hunger Games);Suzanne Collins;4,7;22 614;11;01/01/2011;Fiction;Teen & Young Adult;Literature & Fiction;1
49;Catching Fire (The Hunger Games);Suzanne Collins;4,7;22 614;11;01/01/2012;Fiction;Teen & Young Adult;Literature & Fiction;1
50;Cravings: Recipes for All the Food You Want to Eat: A Cookbook;Chrissy Teigen;4,7;4 761;16;01/01/2016;Non Fiction;Cookbooks, Food & Wine;Quick & Easy;1
51;Crazy Love: Overwhelmed by a Relentless God;Francis Chan;4,7;1 542;14;01/01/2009;Non Fiction;Christian Books & Bibles;Christian Living;1
52;Crazy Love: Overwhelmed by a Relentless God;Francis Chan;4,7;1 542;14;01/01/2010;Non Fiction;Christian Books & Bibles;Christian Living;1
53;Crazy Love: Overwhelmed by a Relentless God;Francis Chan;4,7;1 542;14;01/01/2011;Non Fiction;Christian Books & Bibles;Christian Living;1
54;Crazy Rich Asians (Crazy Rich Asians Trilogy);Kevin Kwan;4,3;6 143;8;01/01/2018;Fiction;Literature & Fiction;Genre Fiction;1
55;Creative Haven Creative Cats Coloring Book (Adult Coloring);Marjorie Sarnat;4,8;4 022;4;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
56;Creative Haven Owls Coloring Book (Adult Coloring);Marjorie Sarnat;4,8;3 871;5;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
57;Cutting for Stone;Abraham Verghese;4,6;4 866;11;01/01/2010;Fiction;Literature & Fiction;Genre Fiction;1
58;Cutting for Stone;Abraham Verghese;4,6;4 866;11;01/01/2011;Fiction;Literature & Fiction;Genre Fiction;1
59;Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead;Brene? Brown;4,8;1 329;10;01/01/2013;Non Fiction;Self-Help;Relationships;1
60;David and Goliath: Underdogs, Misfits, and the Art of Battling Giants;Malcolm Gladwell;4,4;4 642;13;01/01/2013;Non Fiction;Business & Money;Business Culture;1
61;Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood);Charlaine Harris;4,6;1 541;4;01/01/2009;Fiction;Mystery, Thriller & Suspense;Mystery;1
62;Dead in the Family (Sookie Stackhouse/True Blood, Book 10);Charlaine Harris;4,3;1 924;8;01/01/2010;Fiction;Fantasy;TV, Movie, Game Adaptations;1
63;Dead Reckoning (Sookie Stackhouse/True Blood, Book 11);Charlaine Harris;4,2;2 094;4;01/01/2011;Fiction;Fantasy;Contemporary;1
64;Dear Zoo: A Lift-the-Flap Book;Rod Campbell;4,8;10 922;5;01/01/2015;Fiction;Children's Books;Animals;1
65;Dear Zoo: A Lift-the-Flap Book;Rod Campbell;4,8;10 922;5;01/01/2016;Fiction;Children's Books;Animals;1
66;Dear Zoo: A Lift-the-Flap Book;Rod Campbell;4,8;10 922;5;01/01/2017;Fiction;Children's Books;Animals;1
67;Dear Zoo: A Lift-the-Flap Book;Rod Campbell;4,8;10 922;5;01/01/2018;Fiction;Children's Books;Animals;1
68;Decision Points;George W. Bush;4,6;2 137;17;01/01/2010;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
69;Delivering Happiness: A Path to Profits, Passion, and Purpose;Tony Hsieh;4,6;1 651;15;01/01/2010;Non Fiction;Business & Money;Business Culture;1
70;Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5;American Psychiatric Association;4,5;6 679;105;01/01/2013;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
71;Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5;American Psychiatric Association;4,5;6 679;105;01/01/2014;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
72;Diary of a Wimpy Kid: Hard Luck, Book 8;Jeff Kinney;4,8;6 812;0;01/01/2013;Fiction;Children's Books;Growing Up & Facts of Life;1
73;Diary of a Wimpy Kid: The Last Straw (Book 3);Jeff Kinney;4,8;3 837;15;01/01/2009;Fiction;Children's Books;Growing Up & Facts of Life;1
74;Diary of a Wimpy Kid: The Long Haul;Jeff Kinney;4,8;6 540;22;01/01/2014;Fiction;Children's Books;Growing Up & Facts of Life;1
75;Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids);M Prefontaine;4,6;7 955;5;01/01/2019;Non Fiction;Children's Books;Activities, Crafts & Games;1
76;Divergent;Veronica Roth;4,6;27 098;15;01/01/2013;Fiction;Teen & Young Adult;Literature & Fiction;1
77;Divergent;Veronica Roth;4,6;27 098;15;01/01/2014;Fiction;Teen & Young Adult;Literature & Fiction;1
78;Divergent / Insurgent;Veronica Roth;4,5;17 684;6;01/01/2014;Fiction;Teen & Young Adult;Literature & Fiction;1
79;Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…;Zhi Gang Sha;4,6;37,00;6;01/01/2009;Non Fiction;Health, Fitness & Dieting;Alternative Medicine;1
80;Doctor Sleep: A Novel;Stephen King;4,7;15 845;13;01/01/2013;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
81;Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4);Jeff Kinney;4,8;3 181;12;01/01/2009;Fiction;Children's Books;Growing Up & Facts of Life;1
82;Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4);Dav Pilkey;4,9;5 062;6;01/01/2018;Fiction;Children's Books;Animals;1
83;Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3);Dav Pilkey;4,9;4 786;8;01/01/2017;Fiction;Children's Books;Animals;1
84;Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6);Dav Pilkey;4,9;7 235;4;01/01/2018;Fiction;Children's Books;Animals;1
85;Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6);Dav Pilkey;4,9;7 235;4;01/01/2019;Fiction;Children's Books;Animals;1
86;Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8);Dav Pilkey;4,9;12 619;8;01/01/2019;Fiction;Children's Books;Animals;1
87;Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7);Dav Pilkey;4,9;9 089;8;01/01/2019;Fiction;Children's Books;Animals;1
88;Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5);Dav Pilkey;4,9;5 470;6;01/01/2018;Fiction;Children's Books;Animals;1
89;Double Down (Diary of a Wimpy Kid #11);Jeff Kinney;4,8;5 118;20;01/01/2016;Fiction;Children's Books;Growing Up & Facts of Life;1
90;Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books);Marty Noble;4,6;2 134;5;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
91;Drive: The Surprising Truth About What Motivates Us;Daniel H. Pink;4,5;2 525;16;01/01/2010;Non Fiction;Business & Money;Business Culture;1
92;Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution;David Zinczenko;4,5;720,00;1;01/01/2009;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
93;Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!;David Zinczenko;4,3;956,00;14;01/01/2009;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
94;Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition;Joel Fuhrman MD;4,5;6 346;9;01/01/2011;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
95;Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition;Joel Fuhrman MD;4,5;6 346;9;01/01/2012;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
96;Eclipse (Twilight Sagas);Stephenie Meyer;4,7;5 505;7;01/01/2009;Fiction;Teen & Young Adult;Science Fiction & Fantasy;1
97;Eclipse (Twilight);Stephenie Meyer;4,7;5 505;18;01/01/2009;Fiction;Teen & Young Adult;Science Fiction & Fantasy;1
98;Educated: A Memoir;Tara Westover;4,7;28 729;15;01/01/2018;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
99;Educated: A Memoir;Tara Westover;4,7;28 729;15;01/01/2019;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
100;Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…;Johanna Basford;4,7;5 413;9;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
101;Fahrenheit 451;Ray Bradbury;4,6;10 721;8;01/01/2016;Fiction;Politics & Social Sciences;Politics & Government;1
102;Fahrenheit 451;Ray Bradbury;4,6;10 721;8;01/01/2018;Fiction;Politics & Social Sciences;Politics & Government;1
103;Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter);J.K. Rowling;4,7;4 370;15;01/01/2016;Fiction;Children's Books;Arts, Music & Photography;1
104;Fear: Trump in the White House;Bob Woodward;4,4;6 042;2;01/01/2018;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
105;Fifty Shades Darker;E L James;4,4;23 631;7;01/01/2012;Fiction;Literature & Fiction;Women's Fiction;1
106;Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition);E L James;4,5;20 262;11;01/01/2012;Fiction;Literature & Fiction;Women's Fiction;1
107;Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series);E L James;3,8;47 265;14;01/01/2012;Fiction;Literature & Fiction;Women's Fiction;1
108;Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series);E L James;3,8;47 265;14;01/01/2013;Fiction;Literature & Fiction;Women's Fiction;1
109;Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed);E L James;4,5;13 964;32;01/01/2012;Fiction;Literature & Fiction;Women's Fiction;1
110;Fire and Fury: Inside the Trump White House;Michael Wolff;4,2;13 677;6;01/01/2018;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
111;First 100 Words;Roger Priddy;4,7;17 323;4;01/01/2014;Non Fiction;Children's Books;Education & Reference;1
112;First 100 Words;Roger Priddy;4,7;17 323;4;01/01/2015;Non Fiction;Children's Books;Education & Reference;1
113;First 100 Words;Roger Priddy;4,7;17 323;4;01/01/2016;Non Fiction;Children's Books;Education & Reference;1
114;First 100 Words;Roger Priddy;4,7;17 323;4;01/01/2017;Non Fiction;Children's Books;Education & Reference;1
115;First 100 Words;Roger Priddy;4,7;17 323;4;01/01/2018;Non Fiction;Children's Books;Education & Reference;1
116;Food Rules: An Eater's Manual;Michael Pollan;4,4;1 555;9;01/01/2010;Non Fiction;Cookbooks, Food & Wine;Special Diet;1
117;Frozen (Little Golden Book);RH Disney;4,7;3 642;0;01/01/2014;Fiction;Children's Books;Growing Up & Facts of Life;1
118;Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime;John Heilemann;4,4;1 215;9;01/01/2010;Non Fiction;Politics & Social Sciences;Politics & Government;1
119;Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows;George R.R. Martin;4,6;5 594;5;01/01/2011;Fiction;Literature & Fiction;Genre Fiction;1
120;Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows;George R.R. Martin;4,6;5 594;5;01/01/2012;Fiction;Literature & Fiction;Genre Fiction;1
121;Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows;George R.R. Martin;4,6;5 594;5;01/01/2013;Fiction;Literature & Fiction;Genre Fiction;1
122;George Washington's Sacred Fire;Peter A. Lillback;4,5;408,00;20;01/01/2010;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
123;George Washington's Secret Six: The Spy Ring That Saved the American Revolution;Brian Kilmeade;4,6;4 799;16;01/01/2013;Non Fiction;History;Americas;1
124;Giraffes Can't Dance;Giles Andreae;4,8;14 038;4;01/01/2015;Fiction;Children's Books;Arts, Music & Photography;1
125;Giraffes Can't Dance;Giles Andreae;4,8;14 038;4;01/01/2016;Fiction;Children's Books;Arts, Music & Photography;1
126;Giraffes Can't Dance;Giles Andreae;4,8;14 038;4;01/01/2017;Fiction;Children's Books;Arts, Music & Photography;1
127;Giraffes Can't Dance;Giles Andreae;4,8;14 038;4;01/01/2018;Fiction;Children's Books;Arts, Music & Photography;1
128;Giraffes Can't Dance;Giles Andreae;4,8;14 038;4;01/01/2019;Fiction;Children's Books;Arts, Music & Photography;1
129;Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals;Rachel Hollis;4,6;7 660;12;01/01/2019;Non Fiction;Business & Money;Business Culture;1
130;Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be;Rachel Hollis;4,6;22 288;12;01/01/2018;Non Fiction;Christian Books & Bibles;Christian Living;1
131;Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be;Rachel Hollis;4,6;22 288;12;01/01/2019;Non Fiction;Christian Books & Bibles;Christian Living;1
132;Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine;Glenn Beck;4,6;1 365;11;01/01/2009;Non Fiction;History;Americas;1
133;Go Set a Watchman: A Novel;Harper Lee;3,6;14 982;19;01/01/2015;Fiction;Literature & Fiction;Genre Fiction;1
134;Go the F**k to Sleep;Adam Mansbach;4,8;9 568;9;01/01/2011;Fiction;Humor & Entertainment;Humor;1
135;Going Rogue: An American Life;Sarah Palin;4,6;1 636;6;01/01/2009;Non Fiction;History;Americas;1
136;Gone Girl;Gillian Flynn;4;57 271;10;01/01/2012;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
137;Gone Girl;Gillian Flynn;4;57 271;10;01/01/2013;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
138;Gone Girl;Gillian Flynn;4;57 271;9;01/01/2014;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
139;Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal;Pretty Simple Press;4,6;10 141;6;01/01/2019;Non Fiction;Self-Help;Creativity;1
140;Good to Great: Why Some Companies Make the Leap and Others Don't;Jim Collins;4,5;3 457;14;01/01/2009;Non Fiction;Business & Money;Biography & History;1
141;Good to Great: Why Some Companies Make the Leap and Others Don't;Jim Collins;4,5;3 457;14;01/01/2010;Non Fiction;Business & Money;Biography & History;1
142;Good to Great: Why Some Companies Make the Leap and Others Don't;Jim Collins;4,5;3 457;14;01/01/2011;Non Fiction;Business & Money;Biography & History;1
143;Good to Great: Why Some Companies Make the Leap and Others Don't;Jim Collins;4,5;3 457;14;01/01/2012;Non Fiction;Business & Money;Biography & History;1
144;Goodnight Moon;Margaret Wise Brown;4,8;8 837;5;01/01/2017;Fiction;Children's Books;Animals;1
145;Goodnight Moon;Margaret Wise Brown;4,8;8 837;5;01/01/2018;Fiction;Children's Books;Animals;1
146;Goodnight Moon;Margaret Wise Brown;4,8;8 837;5;01/01/2019;Fiction;Children's Books;Animals;1
147;Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids);Sherri Duskey Rinker;4,9;7 038;7;01/01/2012;Fiction;Children's Books;Growing Up & Facts of Life;1
148;Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids);Sherri Duskey Rinker;4,9;7 038;7;01/01/2013;Fiction;Children's Books;Growing Up & Facts of Life;1
149;Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers;David Perlmutter MD;4,6;5 972;10;01/01/2014;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
150;Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series);E L James;4,4;25 624;14;01/01/2015;Fiction;Literature & Fiction;Women's Fiction;1
151;Guts;Raina Telgemeier;4,8;5 476;7;01/01/2019;Non Fiction;Children's Books;Growing Up & Facts of Life;1
152;Hamilton: The Revolution;Lin-Manuel Miranda;4,9;5 867;54;01/01/2016;Non Fiction;Arts & Photography;Performing Arts;1
153;Happy, Happy, Happy: My Life and Legacy as the Duck Commander;Phil Robertson;4,8;4 148;11;01/01/2013;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
154;Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2);J.K. Rowling;4,9;19 622;30;01/01/2016;Fiction;Children's Books;Growing Up & Facts of Life;1
155;Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script;J.K. Rowling;4;23 973;12;01/01/2016;Fiction;Children's Books;Growing Up & Facts of Life;1
156;Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4);J. K. Rowling;4,9;7 758;18;01/01/2019;Fiction;Children's Books;Growing Up & Facts of Life;1
157;Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3);J.K. Rowling;4,9;3 146;30;01/01/2017;Fiction;Children's Books;Growing Up & Facts of Life;1
158;Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1);J.K. Rowling;4,9;10 052;22;01/01/2016;Fiction;Children's Books;Growing Up & Facts of Life;1
159;Harry Potter Coloring Book;Scholastic;4,7;3 564;9;01/01/2015;Non Fiction;Children's Books;Growing Up & Facts of Life;1
160;Harry Potter Paperback Box Set (Books 1-7);J.K. Rowling;4,8;13 471;52;01/01/2016;Fiction;Children's Books;Growing Up & Facts of Life;1
161;Have a Little Faith: A True Story;Mitch Albom;4,8;1 930;4;01/01/2009;Non Fiction;Christian Books & Bibles;Christian Living;1
162;Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back;Todd Burpo;4,7;15 779;10;01/01/2011;Non Fiction;Self-Help;Relationships;1
163;Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back;Todd Burpo;4,7;15 779;10;01/01/2012;Non Fiction;Self-Help;Relationships;1
164;Hillbilly Elegy: A Memoir of a Family and Culture in Crisis;J. D. Vance;4,4;15 526;14;01/01/2016;Non Fiction;Politics & Social Sciences;Social Sciences;1
165;Hillbilly Elegy: A Memoir of a Family and Culture in Crisis;J. D. Vance;4,4;15 526;14;01/01/2017;Non Fiction;Politics & Social Sciences;Social Sciences;1
166;Homebody: A Guide to Creating Spaces You Never Want to Leave;Joanna Gaines;4,8;3 776;22;01/01/2018;Non Fiction;Crafts, Hobbies & Home;Home Improvement & Design;1
167;How to Win Friends & Influence People;Dale Carnegie;4,7;25 001;11;01/01/2014;Non Fiction;Self-Help;Relationships;1
168;How to Win Friends & Influence People;Dale Carnegie;4,7;25 001;11;01/01/2015;Non Fiction;Self-Help;Relationships;1
169;How to Win Friends & Influence People;Dale Carnegie;4,7;25 001;11;01/01/2016;Non Fiction;Self-Help;Relationships;1
170;How to Win Friends & Influence People;Dale Carnegie;4,7;25 001;11;01/01/2017;Non Fiction;Self-Help;Relationships;1
171;How to Win Friends & Influence People;Dale Carnegie;4,7;25 001;11;01/01/2018;Non Fiction;Self-Help;Relationships;1
172;Howard Stern Comes Again;Howard Stern;4,3;5 272;16;01/01/2019;Non Fiction;Biographies & Memoirs;Arts & Literature;1
173;Humans of New York;Brandon Stanton;4,8;3 490;15;01/01/2013;Non Fiction;Arts & Photography;Photography & Video;1
174;Humans of New York;Brandon Stanton;4,8;3 490;15;01/01/2014;Non Fiction;Arts & Photography;Photography & Video;1
175;Humans of New York : Stories;Brandon Stanton;4,9;2 812;17;01/01/2015;Non Fiction;Arts & Photography;Photography & Video;1
176;Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened;Allie Brosh;4,7;4 896;17;01/01/2013;Non Fiction;Comics & Graphic Novels;Graphic Novels;1
177;I Am Confident, Brave & Beautiful: A Coloring Book for Girls;Hopscotch Girls;4,8;9 737;7;01/01/2019;Non Fiction;Children's Books;Growing Up & Facts of Life;1
178;I, Alex Cross;James Patterson;4,6;1 320;7;01/01/2009;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
179;If Animals Kissed Good Night;Ann Whitford Paul;4,8;16 643;4;01/01/2017;Fiction;Children's Books;Growing Up & Facts of Life;1
180;If Animals Kissed Good Night;Ann Whitford Paul;4,8;16 643;4;01/01/2019;Fiction;Children's Books;Growing Up & Facts of Life;1
181;If I Stay;Gayle Forman;4,3;7 153;9;01/01/2014;Fiction;Children's Books;Arts, Music & Photography;1
